Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,8204892.37,303042.52,924493.50,2839,0,3746,0,4844,0,584,0,48,0.7272725318304916,5688
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,34577114.00,570443.14,188530.00,7248,0,2903,0,11892,0,2181,0,90,0.8262061252727436,19116
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1584872.42,26422.52,7530.00,446,0,614,0,626,0,91,0,10,0.6819537277741933,792
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,13259697.63,4817870.31,3773286.00,3183,0,1703,0,5707,0,1082,0,27,0.9203015730579122,11100
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,11132217.66,2599707.76,4237665.00,2129,0,935,0,3672,0,908,0,58,0.5893700393053121,12516
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,6599203.97,1282341.87,2295692.00,1550,0,1564,0,2856,0,645,0,20,0.875576553720979,4620
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,2163961.96,1495371.27,445441.01,1027,0,1099,0,1664,0,414,0,33,0.8395162265683497,3636
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,4172971.42,1156053.27,499479.22,1024,0,408,0,1490,0,381,0,35,0.8779275911379513,3264
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,2399002.79,509172.06,509466.56,1215,0,872,0,1373,0,282,0,28,0.7584345210529632,2076
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,24583887.88,0.00,0,5661,0,2171,0,8578,0,2054,61,0.967207668602091,20148
