provider_num,npi,name,address,city,state,zip,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number,hcai_id
50262,1902803315,RONALD REAGAN UCLA MEDICAL CENTER,757 WESTWOOD PLZ,LOS ANGELES,CA,900958358,,34.0664551,-118.44651888287,3108258021,00-09,,true,,,9,446,,106190796
50625,1891940326,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,CA,900486137,37,34.0751604,-118.381093624499,3104235000,00-09,01-01,true,,,9,877,,106190555
50696,1013514199,KECK MEDICAL CENTER OF USC,1500 SAN PABLO ST,PASADENA,CA,911052684,,34.1476452,-118.1444779,3234222844,00-09,,,,,9,401,,106194219
50103,1215927470,ADVENTIST HEALTH WHITE MEMORIAL,1720 E CESAR AVENUE,LOS ANGELES,CA,900332414,37,34.0536909,-118.242766,3232685000,00-09,01-01,true,,,9,377,,106190878
50239,1831188275,ADVENTIST HEALTH GLENDALE,1509 E WILSON TERRACE,GLENDALE,CA,912064007,37,34.1469416,-118.2478471,8184098202,00-09,01-01,true,,,9,515,,106190323
50124,1033716147,USC VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,GLENDALE,CA,912081479,,34.2045076,-118.216223315989,8187907100,00-09,,,,,,158,,106190818
50257,1205852209,GOOD SAMARITAN HOSPITAL,901 OLIVE DR,BAKERSFIELD,CA,93309,,35.41143235,-119.039665060794,6612157565,00-09,,,,,9,64,,106150775
50373,1598773715,LOS ANGELES GENERAL MEDICAL CENTER,1200 N STATE ST,LOS ANGELES,CA,900331029,,34.0581803838384,-118.209796949495,3234092800,00-09,,true,,,9,600,,106191228
50376,1477574838,HARBOR-UCLA,1000 W CARSON ST,TORRANCE,CA,905022004,,33.8314751,-118.3090998,3102222101,00-09,,true,,,9,453,,106191227
50238,1508851288,USC ARCADIA HOSPITAL,300 W HUNTINGTON DR,ARCADIA,CA,910073402,37,34.136392,-118.040911,6264454441,00-09,01-01,true,,,9,374,,106190529
50138,1821143777,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,900276063,37,34.09851265,-118.294368469543,3237834011,00-09,01-01,true,,,9,507,,106190429
50471,1508859323,PIH HEALTH GOOD SAMARITAN HOSPITAL,1225 WILSHIRE BLVD,LOS ANGELES,CA,900174810,,34.0540529,-118.265259682589,2139772121,00-09,,true,,,9,408,,106190392
50315,1376623538,KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,BAKERSFIELD,CA,933064018,,35.37988,-118.96755,6613262000,00-09,,,,,9,222,,106150736
