SNOMED,ICD
63650001,A000
240349003,A000
447282003,A000
81020007,A001
240350003,A009
240351004,A009
446672004,A009
707525005,A009
1193749009,A009
1193750009,A009
1179034007,A0100
77645007,A0101
192648008,A0101
194929007,A0102
1217295005,A0102
1084791000119100,A0102
45312009,A0103
1179405006,A0104
1179378005,A0105
4834000,A0109
402962004,A0109
402963009,A0109
789006005,A0109
1179407003,A0109
76623002,A011
1142226000,A011
1163127003,A011
71085009,A012
1163128008,A012
1179031004,A012
51254007,A013
85904008,A013
721682003,A013
1163125006,A013
1179071009,A013
402964003,A014
90271007,A020
90974009,A020
186134009,A020
397503006,A020
1179073007,A020
440219001,A021
449083008,A021
714083007,A021
2523007,A0222
47375003,A0222
71299003,A0223
6803002,A0224
301010001,A0225
1092371000119100,A0225
763772002,A028
302229004,A029
302231008,A029
10261000112105,A029
66301008,A030
1163124005,A030
1193743005,A030
1193744004,A030
34335000,A031
1163122009,A031
1193745003,A031
1193746002,A031
55760004,A032
1163123004,A032
1193741007,A032
1193742000,A032
1231379009,A032
69794009,A033
1163120001,A033
1163126007,A033
1193747006,A033
1193748001,A033
36188001,A039
111817006,A039
274081004,A039
312109000,A039
702989004,A039
1177061003,A039
1231380007,A039
240356009,A040
1163111005,A040
1193684003,A040
11840006,A041
1163113008,A041
1193687005,A041
1193688000,A041
240355008,A042
1163115001,A042
1193681006,A042
1193682004,A042
69810009,A043
240353001,A043
1163112003,A043
1163114002,A043
1193658009,A043
1193660006,A043
1193685002,A043
1231377006,A043
328291000119103,A043
111839008,A044
428874003,A044
446328009,A044
715145003,A044
1231378001,A044
127531000119106,A044
18081009,A045
446122002,A045
447354007,A045
703009006,A045
1163143005,A045
711167005,A046
1163121002,A046
789685005,A0471
1172958005,A0471
27858009,A0472
310541005,A0472
404907009,A0472
423590009,A0472
1163524004,A0472
5891000119102,A0472
10789001,A048
30493003,A048
32527003,A048
36529003,A048
42338000,A048
78128001,A048
82930004,A048
111819009,A048
186136006,A048
186137002,A048
186138007,A048
266077001,A048
266078006,A048
307759003,A048
312105006,A048
398570005,A048
414529006,A048
414530001,A048
421224000,A048
421429008,A048
446988001,A048
712583003,A048
721730009,A048
735514001,A048
1163107004,A048
1163108009,A048
1163110006,A048
1163117009,A048
1163140008,A048
1163142000,A048
1177023001,A048
1193732002,A048
1193733007,A048
1193735000,A048
1193736004,A048
1193738003,A048
1197369000,A048
7399006,A049
18229003,A049
46799006,A049
47941007,A049
66379009,A049
75375008,A049
274080003,A049
312108008,A049
312121001,A049
446081009,A049
721681005,A049
84622004,A050
398384001,A050
409563004,A051
409565006,A051
409566007,A051
409567003,A051
1149327007,A051
1156793005,A051
39747007,A052
46609008,A052
70014009,A052
111802007,A052
240357000,A052
81159000,A053
406626001,A053
1148585008,A053
19894004,A054
398557001,A055
402965002,A055
414286000,A055
19547001,A058
67987005,A058
80960004,A058
128944008,A058
240333000,A058
240334006,A058
240335007,A058
240336008,A058
240337004,A058
240352006,A058
240354007,A058
370514003,A058
446438003,A058
721657003,A058
66107000,A059
75258004,A059
281107009,A059
416482004,A059
39224005,A060
111912001,A060
186116005,A060
235747003,A060
235748008,A060
1193802004,A060
23874000,A061
111911008,A061
387754006,A061
55023005,A062
28536002,A063
197141006,A063
240363009,A063
733172004,A063
838365008,A063
75119003,A064
95897009,A064
65095005,A065
721807009,A065
27908001,A066
20958005,A067
297959007,A067
400086005,A067
788672001,A067
8776008,A0681
237105008,A0682
240663001,A0682
240661004,A0689
406573001,A0689
4915001,A069
26826005,A069
30211004,A069
48252005,A069
50227004,A069
50277001,A069
52872005,A069
79934001,A069
105637008,A069
105646002,A069
111910009,A069
240361006,A069
240362004,A069
388759003,A069
406559005,A069
721808004,A069
735529004,A069
866122003,A069
1193803009,A069
56722001,A070
57725006,A070
105638003,A070
105658002,A070
240369008,A070
1163144004,A070
10679007,A071
58265007,A071
105644004,A071
721684002,A071
1163081002,A071
1163109001,A071
1193804003,A071
1193805002,A071
7977009,A072
15907009,A072
26081002,A072
58777003,A072
66160001,A072
70683005,A072
75333007,A072
105654000,A072
240370009,A072
240371008,A072
713845004,A072
840460003,A072
860889002,A072
1193798000,A072
1193800007,A072
1193801006,A072
14523006,A073
39458004,A073
58051000,A073
62005008,A073
105641007,A073
240374000,A073
360425009,A073
370518000,A073
371423007,A073
421204004,A073
713546005,A073
713729005,A073
721809007,A073
733154005,A073
733161009,A073
771127006,A073
240372001,A074
716860005,A074
721810002,A074
27335004,A078
28980009,A078
29979000,A078
32298001,A078
67915005,A078
71572001,A078
88905005,A078
105639006,A078
105640008,A078
105642000,A078
105643005,A078
105656003,A078
182182000,A078
187239003,A078
240365002,A078
240366001,A078
240367005,A078
240368000,A078
240375004,A078
89933001,A079
721685001,A079
1193799008,A079
18624000,A080
186150001,A080
415353009,A080
415822001,A080
24789006,A0811
74621002,A0811
283877002,A0811
445152004,A0811
708364005,A0811
721763002,A0811
70880006,A082
236063005,A082
240338009,A082
240339001,A082
37203006,A0831
240343002,A0831
1148699004,A0831
1187631004,A0831
283876006,A0832
1163506001,A0832
1082731000119100,A0832
32580004,A0839
78420004,A0839
111843007,A0839
240332005,A0839
308119005,A0839
446754004,A0839
446755003,A0839
446756002,A0839
1163467009,A0839
1163480007,A0839
1179393009,A0839
312131008,A084
1092941000119100,A084
35974005,A088
236066002,A088
240915002,A088
312088007,A088
447004005,A088
1193649002,A088
1193651003,A088
1193652005,A088
12463005,A09
19213003,A09
36789003,A09
39341005,A09
39963006,A09
43240000,A09
55184003,A09
57419008,A09
59253004,A09
69776003,A09
78885002,A09
79099006,A09
86615009,A09
95544006,A09
109814008,A09
128398001,A09
191950004,A09
235655002,A09
266071000,A09
266081001,A09
312153005,A09
312158001,A09
359613008,A09
444926003,A09
707222009,A09
707352004,A09
715852004,A09
722541007,A09
737345002,A09
1163493002,A09
1193753006,A09
1193754000,A09
21871000119107,A09
11999007,A150
29731002,A150
51014003,A150
80003002,A150
80602006,A150
90117007,A150
154283005,A150
186175002,A150
186177005,A150
186193001,A150
186194007,A150
186195008,A150
186203002,A150
186204008,A150
233618000,A150
414546009,A150
428697002,A150
446946005,A150
447006007,A150
129211000119108,A150
74387008,A154
78436002,A154
82495004,A154
85692003,A154
55419007,A155
70341005,A155
77668003,A155
80010008,A155
81554001,A155
186178000,A155
186199002,A155
233793003,A155
233794009,A155
700273003,A155
14527007,A156
24235005,A156
73198007,A156
79231000,A156
186200004,A156
233649005,A156
446986002,A156
105901000119108,A156
56717001,A157
63309002,A157
88356006,A157
111832004,A157
186172004,A157
186182003,A157
186192006,A157
186201000,A157
373086002,A157
413852006,A157
414146004,A157
415345001,A157
415622003,A157
422481005,A157
423092005,A157
427099000,A157
473426009,A157
473427000,A157
473428005,A157
473430007,A157
473431006,A157
710106005,A157
770674007,A157
16841131000119100,A157
4225003,A158
25831001,A158
52721006,A158
56498009,A158
213580002,A158
413556004,A158
414149006,A158
415222009,A158
423709000,A158
446753005,A158
703470001,A158
186202007,A159
420818005,A159
421571007,A159
698729002,A159
700272008,A159
8217007,A170
11676005,A170
38115001,A170
58437007,A170
66074005,A170
90302003,A170
444957003,A170
447012002,A170
447253004,A170
15202009,A171
35786001,A171
10706006,A1781
12677003,A1781
186217006,A1781
192745001,A1781
416265003,A1781
416903004,A1781
417484006,A1781
446123007,A1781
447332005,A1781
473429002,A1781
860803004,A1781
870340002,A1781
31112008,A1782
91483004,A1782
1092771000119100,A1783
20533009,A1801
35984006,A1801
203217000,A1801
203219002,A1801
203263006,A1801
203264000,A1801
203265004,A1801
203282002,A1801
446926000,A1801
1162297009,A1801
1162401004,A1801
1162404007,A1801
1177013005,A1801
1177067004,A1801
14188007,A1802
17136009,A1802
373576009,A1802
1162356000,A1802
1162879007,A1802
16016231000119100,A1802
16016271000119100,A1802
16016311000119100,A1802
15604000,A1803
17653001,A1803
38279006,A1803
44182001,A1803
49807009,A1803
58764007,A1803
71375000,A1803
81133003,A1803
203224004,A1803
203267007,A1803
203269005,A1803
203270006,A1803
203272003,A1803
203274002,A1803
203278004,A1803
203279007,A1803
203280005,A1803
449925002,A1803
1144499001,A1803
1144503007,A1803
13570003,A1809
25738004,A1809
190710003,A1809
202994006,A1809
721732001,A1809
735517008,A1809
866136008,A1809
1162291005,A1809
431631000124102,A1809
4445009,A1810
281623008,A1810
37133005,A1811
44323002,A1811
81359005,A1811
236602004,A1811
266558006,A1811
32268008,A1812
111830007,A1812
236684001,A1813
20372007,A1814
61500009,A1814
240379005,A1814
12985005,A1815
27001009,A1815
40258005,A1815
83652003,A1815
236770001,A1815
312220006,A1815
312222003,A1815
1177009003,A1815
62819009,A1816
35585004,A1817
49558004,A1817
74181004,A1817
84194006,A1817
198241002,A1817
717697005,A1818
54084005,A182
77038006,A182
186259007,A182
301771001,A182
707149004,A182
4501007,A1831
80654001,A1831
307311001,A1831
7444001,A1832
8832006,A1832
35117008,A1832
38420005,A1832
39306006,A1832
44572005,A1832
60136008,A1832
186225008,A1832
235694001,A1832
301836007,A1832
447371008,A1832
698733009,A1832
1163080001,A1832
1163487005,A1832
1163531000,A1832
1177026009,A1832
1177041009,A1832
10893003,A1839
16409009,A1839
234090004,A1839
405582003,A1839
2028007,A184
8250007,A184
9768003,A184
10528009,A184
11354005,A184
33893009,A184
41156006,A184
63808004,A184
74610006,A184
82796002,A184
123583002,A184
238428001,A184
238429009,A184
240380008,A184
240382000,A184
373437006,A184
402973006,A184
402974000,A184
402975004,A184
447399004,A184
714394004,A184
863908005,A184
49107007,A1850
84288007,A1851
66291003,A1852
79158003,A1852
95734007,A1852
111825008,A1852
186267004,A1852
193787009,A1852
425618009,A1852
48225000,A1853
95682009,A1853
314029000,A1853
1176981005,A1853
15991471000119100,A1853
15991511000119100,A1853
71943007,A1854
186266008,A1854
1177018001,A1854
1177031006,A1854
1092761000119100,A1854
95748007,A1859
186263000,A1859
840446000,A1859
866083008,A1859
870333003,A1859
85940005,A186
186269001,A186
789056000,A186
789057009,A186
15984271000119100,A186
185113005,A187
186270000,A187
735519006,A187
1217053007,A187
26935004,A1881
312427007,A1881
15284007,A1883
24810006,A1883
43823002,A1883
86514004,A1883
186272008,A1883
186273003,A1883
235067001,A1883
240376003,A1883
447330002,A1883
735518003,A1883
1177021004,A1883
1197013001,A1883
318191000009109,A1883
47292005,A1884
52987001,A1884
67256000,A1884
83784000,A1884
194908003,A1884
194949003,A1884
302131003,A1884
460440005,A1884
460457009,A1884
460464006,A1884
28399005,A1885
28366008,A1889
237444008,A1889
237445009,A1889
289272008,A1889
363310009,A1889
423997002,A1889
441770001,A1889
733835007,A1889
788960009,A1889
1177015003,A1889
724541008,A190
186276006,A191
186278007,A191
25629007,A192
47604008,A192
58374007,A192
66986005,A192
182159002,A192
240381007,A192
271423008,A192
22990009,A198
62494007,A198
37980001,A199
72807002,A199
50797007,A200
43484003,A201
35339003,A202
38976008,A202
67525007,A202
58750007,A203
186284005,A203
9012003,A207
1149478001,A207
186287003,A208
240384004,A208
21857006,A210
37722001,A210
73363000,A211
231893002,A211
45556008,A212
398554008,A217
19265001,A218
398575000,A218
721734000,A218
84980006,A220
11389007,A221
195902009,A221
111798006,A222
409498004,A222
448482003,A227
720990007,A228
111800004,A229
427999003,A230
1177066008,A230
427795000,A231
428508008,A231
1177068009,A231
202698007,A232
429600003,A232
1177063000,A232
428174001,A233
1177065007,A233
428592003,A238
75702008,A239
402127008,A239
406564009,A239
4639008,A240
240385003,A240
240386002,A240
240387006,A240
240388001,A240
254899009,A240
186311005,A241
240389009,A241
240390000,A241
428111003,A241
186312003,A242
240391001,A242
240392008,A242
1685005,A250
19044004,A250
721737007,A250
52138004,A251
721738002,A251
240394009,A260
240395005,A260
240396006,A260
367434002,A260
400105005,A260
447684006,A267
1149494008,A267
720989003,A268
398067003,A270
25957002,A2781
186956008,A2781
721242003,A2781
22312005,A2789
26275000,A2789
65267003,A2789
68013003,A2789
70543009,A2789
93465000,A2789
186957004,A2789
271425001,A2789
284184004,A2789
364756009,A2789
16038004,A279
77377001,A279
79309005,A279
80194003,A279
406589003,A279
840440006,A279
871841000,A279
871842007,A279
70376007,A280
83172007,A280
186327003,A280
196853004,A280
199177009,A280
200153006,A280
240397002,A280
240398007,A280
240399004,A280
79974007,A281
47277009,A282
186329000,A282
240360007,A282
402970009,A282
14036002,A288
32389002,A288
47036002,A288
66701005,A288
371312007,A288
14386001,A300
240405001,A300
70143003,A301
240401005,A301
240402003,A302
400008009,A302
400154003,A303
240403008,A304
21560005,A305
240404002,A305
414600000,A305
711171008,A305
1176996009,A305
5631000124102,A305
416483009,A308
11216008,A309
11535009,A309
17126001,A309
81004002,A309
89105000,A309
128215004,A309
416597004,A309
708055005,A309
838360003,A309
1163136004,A309
1163497001,A309
1163500007,A309
1172791005,A309
1176984002,A309
1179403004,A309
21704002,A310
84353005,A310
84515001,A310
186342000,A310
240419001,A310
240421006,A310
277869007,A310
372933008,A310
373435003,A310
373436002,A310
402976003,A310
424536008,A310
443378001,A310
1010620002,A310
1010622005,A310
1010662009,A310
1731000119106,A310
15845006,A311
19020001,A311
25626000,A311
58798003,A311
240416008,A311
240417004,A311
240418009,A311
240420007,A311
372930006,A311
372931005,A311
373029007,A311
373071008,A311
373438001,A311
402977007,A311
402978002,A311
402979005,A311
402980008,A311
402981007,A311
402982000,A311
402983005,A311
402984004,A311
870352009,A311
371686006,A312
371687002,A312
