,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
246,67.0,Abbeville,Alabama,254,"Henry County",17221.0,0.9056500901952287,0.09434990980477131,0.7061726961268219,0.02647929853086348,0.2704837117472853,0.007316648278264909,0.0035421868648742813,0.001,0.0,0.0,0.0,0.0,0.029019306157683257,0.029019306157683257,0.029019306157683257,0.06179676031886763,0.06179676031886763,0.06179676031886763,0.06179676031886763,0.10274520072156183,0.10274520072156183,0.11701421272973109,0.11701421272973109,0.07544854944662478,0.07544854944662478,0.07544854944662478,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.09,0.01,0.0,0.18,0.57,0.23,0.0
273,73.0,Adamsville,Alabama,352,"Jefferson County",660367.0,0.8844682891963216,0.11553171080367841,0.5375177742073726,0.03791830906147642,0.4305212101755539,0.01638179981737428,0.003331480828084989,0.001,0.0,0.0,0.0,0.0,0.0299216508802367,0.0299216508802367,0.0299216508802367,0.06289609579071091,0.06289609579071091,0.06289609579071091,0.06289609579071091,0.10257574631357057,0.10257574631357057,0.11519893238412475,0.11519893238412475,0.07440428665737867,0.07440428665737867,0.07440428665737867,0.05,0.03,0.11,0.13,0.19,0.22,0.15,0.06,0.0,0.0,0.25,0.55,0.16,0.02
503,133.0,Addison,Alabama,57,"Winston County",23877.0,0.920285398984157,0.07971460101584305,0.9614691962976923,0.028898102776730744,0.011014784101855342,0.003015454202789295,0.00837626167441471,0.001,0.0,0.0,0.0,0.0,0.028395842003274913,0.028395842003274913,0.028395842003274913,0.061037187792722256,0.061037187792722256,0.061037187792722256,0.061037187792722256,0.10286228319187325,0.10286228319187325,0.11826845869294225,0.11826845869294225,0.07617007016991895,0.07617007016991895,0.07617007016991895,0.09,0.05,0.11,0.17,0.16,0.16,0.08,0.11,0.02,0.01,0.17,0.38,0.38,0.05
241,65.0,Akron,Alabama,20,"Hale County",15068.0,0.8815426974949335,0.11845730250506648,0.4114016458720467,0.011680382267056012,0.5775152641359171,0.002389169100079639,0.0019246084417308203,0.001,0.0,0.0,0.0,0.0,0.030046281086715834,0.030046281086715834,0.030046281086715834,0.06304793400001295,0.06304793400001295,0.06304793400001295,0.06304793400001295,0.10255234157995946,0.10255234157995946,0.11494820917531579,0.11494820917531579,0.07426005498650023,0.07426005498650023,0.07426005498650023,0.23,0.12,0.28,0.19,0.05,0.04,0.0,0.05,0.01,0.0,0.3,0.2,0.48,0.0
445,117.0,Alabaster,Alabama,2714,"Shelby County",208713.0,0.9106972672513806,0.08930273274861944,0.8356834504798455,0.058098920527231174,0.12487482811324642,0.021680489475978976,0.0037276068093506395,0.001,0.0,0.0,0.0,0.0,0.02880429641509119,0.02880429641509119,0.02880429641509119,0.06153481182965335,0.06153481182965335,0.06153481182965335,0.06153481182965335,0.10278557813801104,0.10278557813801104,0.1174467558034433,0.1174467558034433,0.07569737527549307,0.07569737527549307,0.07569737527549307,0.03,0.02,0.09,0.08,0.1,0.18,0.19,0.16,0.08,0.02,0.17,0.33,0.39,0.1
385,95.0,Albertville,Alabama,1974,"Marshall County",94725.0,0.9207941151858074,0.07920588481419255,0.9342412245975191,0.13017682765901292,0.028271311691739246,0.007780416996569016,0.010683557666930589,0.001,0.0,0.0,0.0,0.0,0.0283741706930846,0.0283741706930846,0.0283741706930846,0.06101078542185659,0.06101078542185659,0.06101078542185659,0.06101078542185659,0.10286635292148645,0.10286635292148645,0.11831205567142368,0.11831205567142368,0.07619514987866031,0.07619514987866031,0.07619514987866031,0.08,0.09,0.17,0.13,0.11,0.15,0.09,0.1,0.01,0.01,0.31,0.34,0.29,0.05
471,123.0,"Alexander City",Alabama,1486,"Tallapoosa County",40844.0,0.9124090182912895,0.08759098170871049,0.7053177945353051,0.02357751444520615,0.2733326804426599,0.0050925472529624915,0.003917344040740378,0.001,0.0,0.0,0.0,0.0,0.02873137582079107,0.02873137582079107,0.02873137582079107,0.06144597195068207,0.06144597195068207,0.06144597195068207,0.06144597195068207,0.1027992721463303,0.1027992721463303,0.1175934528675635,0.1175934528675635,0.07578176460176057,0.07578176460176057,0.07578176460176057,0.11,0.08,0.18,0.15,0.15,0.15,0.07,0.06,0.01,0.0,0.27,0.38,0.3,0.03
416,107.0,Aliceville,Alabama,233,"Pickens County",20864.0,0.9353167259744875,0.06468327402551255,0.5821990030674846,0.04912768404907975,0.4000191717791411,0.0031154141104294476,0.0024444018404907977,0.001,0.0,0.0,0.0,0.0,0.027755507473486835,0.027755507473486835,0.027755507473486835,0.0602570619219241,0.0602570619219241,0.0602570619219241,0.0602570619219241,0.10298253380779589,0.10298253380779589,0.11955664341601357,0.11955664341601357,0.07691111459054223,0.07691111459054223,0.07691111459054223,0.25,0.08,0.21,0.11,0.1,0.11,0.04,0.05,0.0,0.0,0.27,0.2,0.51,0.01
33,9.0,Allgood,Alabama,63,"Blount County",57673.0,0.9253933094053254,0.07460669059467462,0.9577098468954277,0.08953929915211624,0.018795623602032147,0.0028436183309347527,0.006536854333917084,0.001,0.0,0.0,0.0,0.0,0.02817824501933314,0.02817824501933314,0.02817824501933314,0.060772087241863615,0.060772087241863615,0.060772087241863615,0.060772087241863615,0.1029031464752426,0.1029031464752426,0.11870620661603638,0.11870620661603638,0.07642189015368255,0.07642189015368255,0.07642189015368255,0.07,0.09,0.08,0.15,0.19,0.2,0.07,0.11,0.0,0.0,0.2,0.25,0.54,0.0
34,9.0,Altoona,Alabama,3,"Blount County",57673.0,0.9253933094053254,0.07460669059467462,0.9577098468954277,0.08953929915211624,0.018795623602032147,0.0028436183309347527,0.006536854333917084,0.001,0.0,0.0,0.0,0.0,0.02817824501933314,0.02817824501933314,0.02817824501933314,0.060772087241863615,0.060772087241863615,0.060772087241863615,0.060772087241863615,0.1029031464752426,0.1029031464752426,0.11870620661603638,0.11870620661603638,0.07642189015368255,0.07642189015368255,0.07642189015368255,0.09,0.09,0.25,0.1,0.15,0.12,0.1,0.06,0.0,0.0,0.24,0.17,0.58,0.0
