provider_num,npi,name,address,city,state,zip,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
"101936","1801826268","TRENTON MEDICAL CLINIC","PO BOX 640 911 SOUTH MAIN STREET","TRENTON",FL,"326933239","041",29.6132942,-82.8176203,"3524632374","00-04","21-01",true,"101936","77513","04",,
"331829","1619969458","PEEKSKILL AREA HEALTH CENTER","1037 MAIN ST","POUGHKEEPSIE",NY,"126012303","119",41.7055774,-73.9380604,"9147398105","00-04","21-01",true,,"C02842","02",,
"101937","1164642419","BELL FAMILY HEALTHCARE","1830 NORTH MAIN STREET","BELL",FL,"326194713","041",29.7555125,-82.8626239,"3524631100","00-04","21-01",true,"77513",,"04",,
"141927","1629156807","AUBURN GRESHAM FAMILY HEALTH CENTER","8324 S ASHLAND","CHICAGO",IL,"606204625","031",41.8755616,-87.6244212,"7738741400","00-04","21-01",true,,,"05",,
"251901","1417149766","DELTA HEALTH CENTER","110 WEST WASHINGTON ST","MOOREHEAD",MS,"387616627","133",34.0934429,-89.3417419,"6622468028","00-04","21-01",true,,,"04",,
"491848","1598895542","CHINCOTEAGUE ISLAND CMTY HEALTH CTR","4049 MAIN STREET","CHINCOTEAGUE ISLAND",VA,"233362406","001",37.9384567,-75.3615855,"7573363682","00-04","21-01",true,,"C09398","03",,
"161807","1417005919","PRIMARY HEATLH CARE INC","1915 HICKMAN ROAD","DES MOINES",IA,"503142355","153",41.61513725483911,-93.64331917291656,"5152822455","00-04","21-01",true,,"I9909","07",,
"381849","1629078274","KLAMATH TRIBAL HEALTH & FAMILY SERVICE","202 PIONEER ST","CHILOQUIN",OR,"976246747","035",42.5736241,-121.8633027,"5418821487","00-04","21-01",true,,"R107571","10",,
"551923","1245246917","NORTH COUNTY HEALTH SERVICES","150 VALPREDA RD","SAN MARCOS",CA,"920692973",,33.1401805,-117.1569508,"7607366700","00-04",,,,"W9348",,,
"151823","1487764759","RAPHAEL HEALTH CENTER, INC","401 E 34TH ST","INDIANAPOLIS",IN,"462053754",,39.817517,-86.150724,"3179261507","00-04",,,,,,,
"331908","1285893719","OPEN DOOR FAMILY MEDICAL CENTER INC","5 GRACE CHURCH ST","PORT CHESTER",NY,"105734911",,40.9976151,-73.6651519,"9149378899","00-04",,,,"331908",,,
"291829","1073688198","NVRHC- CAMBRIDGE FAMILY HEALTH CENTER","3900 CAMBRIDGE AVENUE SUITE 102","LAS VEGAS",NV,"891197440","003",36.2892339,-115.3343171,"7023075415","00-04","21-01",true,,,"09",,
"101938","1811947245","SAINT LUCIE WOMEN & CHILDREN","1871 SE TIFFANY AVENUE, SUITE 200","PORT ST LUCIE",FL,"349527585","111",27.29206532956196,-80.29345383267426,"7723374000","00-04","21-01",true,,"00589I","04",,
"551918","1003900101","MARIN COMMUNITY CLINIC","6100 REDWOOD BLVD","NOVATO",CA,"949454501","041",38.09095706281527,-122.562363354326,"4154481593","00-04","21-01",true,,"551918","09",,
"551919","1134144165","BORREGO MEDICAL CLINIC","4343 YAQUI PASS ROAD","BORREGO SPRINGS",CA,"920042369","073",33.1938923,-116.3288545,"7607675051","00-04","21-01",true,,,"09",,
