Id,Name,Address,City,State,ZIP,Phone,Type
236352673640,OUTER CAPE HEALTH SERVICES,HARRY KEMP WAY  P O BOX 613,PROVINCETOWN,MA,026571618,5084879395,00-04
425994251852,CAPE COD HOSPITAL INC,27 PARK ST,HYANNIS,MA,026015230,5087711800,00-09
519433870275,Fitchburg Outpatient Clinic,881 Main Street,Fitchburg,MA,01420,978-342-9781 Or 978-342-9781,
386824400340,SOUTH SHORE PRIMARY AND URGENT CARE LLC,20 EAST ST,HANOVER,MA,023391638,7815610460,12-70
185856143542,ZION HEALTH & WELLNESS LLC,209 W CENTRAL ST STE 216,NATICK,MA,017603716,7745970925,12-70
141017370400,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,250 POND STREET,FRAMINGHAM,MA,017014592,7818485353,00-09
709711224382,PATRIOT URGENT CARE PROFESSIONALS PC,1030 MAIN STREET,WALTHAM,MA,024517447,7818946900,12-70
742362213585,PODIATRIC HEALTHCARE PC,9 WARREN CT,SALEM,MA,019703163,9787441309,12-70
215570296847,NORTH SHORE MEDICAL CENTER INC,81 HIGHLAND AVE,SALEM,MA,019702714,9787410522,00-09
565026147593,ELIOT CENTER FOR HEALTH & REHABILITATION,168 WEST CENTRAL STREET,NATICK,MA,017604122,5086551000,00-18
324782119047,URGENT CARE OPERATIONS PC,50 DODGE ST,SWAMPSCOTT,MA,019071300,9789222171,12-70
625681936585,LIFE CARE CENTER OF THE NORTH SHORE,111 BIRCH STREET,LYNN,MA,019021574,7815929667,00-18
945512929224,SOUTH SHORE HEALTH CARE INC,275 TURNPIKE ST,BRAINTREE,MA,021845328,7818481950,12-70
736584438149,CARECENTRAL URGENT CARE MEDICAL GROUP PC,286 WASHINGTON ST,STOUGHTON,MA,020721763,7813412800,12-70
556005905735,ARBOUR HOSPITAL  THE,49 ROBINWOOD AVENUE,QUINCY,MA,021698130,6175224400,00-09
836621929999,ALLIANCE HEALTH AT BRAINTREE,175 GROVE STREET,BRAINTREE,MA,021847253,7818482050,00-18
454269821000,BAYSTATE MEDICAL CENTER,759 CHESTNUT ST,WARE,MA,010821625,4137940000,00-09
563756270845,URGENT CARE CENTERS OF CENTRAL MASSACHUSETTS LLC,757 BOSTON POST RD,WORCESTER,MA,016071728,6173024194,12-70
172688171742,HOPKINTON MEDICAL CARE  P.C.,73 W MAIN ST,HOPKINTON,MA,017481619,5084356900,12-70
987118696272,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,UPTON,MA,015681431,5084731190,00-09
678779436097,WOONSOCKET URGENT CARE PC,1 WRENTHAM ST,BELLINGHAM,MA,020192532,5083184466,12-70
